,PostalCode,Venue,Category,City,Latitude,Longitude
161,M4C,Old's Cool General Store,Convenience Store,Toronto,43.694483,-79.30846
162,M4C,The Beer Store,Beer Store,Toronto,43.6937312,-79.3167591
163,M4C,New Star Video,Video Store,Toronto,43.692565,-79.315937
164,M4C,Luxy Nails,Spa,,43.69285615840882,-79.3158494567113
165,M4C,Thai Wok,Asian Restaurant,Toronto,43.692789,-79.315951
166,M5C,Terroni,Italian Restaurant,Toronto,43.650927,-79.375602
167,M5C,Gyu-Kaku Japanese BBQ,Japanese Restaurant,Toronto,43.651422275497914,-79.37504693687086
168,M5C,Crepe TO,Creperie,Toronto,43.650063279511016,-79.37458664523871
169,M5C,Hogtown Smoke,Food Truck,Toronto,43.64928693557788,-79.37468932637938
170,M5C,Pearl Diver,Gastropub,Toronto,43.651481290733734,-79.37359954211877
171,M5C,Aveda Institute Toronto,Cosmetics Shop,Toronto,43.65009640955562,-79.37362952211767
172,M5C,GEORGE Restaurant,Restaurant,Toronto,43.65334645635036,-79.3744449051126
173,M5C,Triple A Bar (AAA),BBQ Joint,Toronto,43.65165840099557,-79.3727201723461
174,M5C,Fahrenheit Coffee,Coffee Shop,Toronto,43.65238358726612,-79.37271903848271
175,M5C,Beerbistro,Gastropub,Toronto,43.64941904378835,-79.37723726034164
176,M5C,St James Anglican Cathedral,Church,Toronto,43.650109744784004,-79.37429172248066
177,M5C,Dineen Coffee,Café,Toronto,43.650497,-79.378765
178,M5C,Mystic Muffin,Middle Eastern Restaurant,Toronto,43.652483550499326,-79.37265472845176
179,M5C,GoodLife Fitness,Gym,Toronto,43.65113563166627,-79.37879687835455
180,M5C,Versus Coffee,Coffee Shop,Toronto,43.65121343781903,-79.37523564828548
181,M5C,Hawthorne Food and Drink,Gastropub,Toronto,43.652270129568336,-79.37631758327606
182,M5C,Richmond Station,American Restaurant,Toronto,43.65156872562108,-79.37926594000328
183,M5C,The Carbon Bar,Restaurant,Toronto,43.65336708689279,-79.37496515174824
184,M5C,Cambridge Suites Toronto,Hotel,Toronto,43.65183649475983,-79.37810738045548
185,M5C,Club 120,Performing Arts Venue,Toronto,43.65210022195487,-79.37552157754862
186,M5C,NAMI,Japanese Restaurant,Toronto,43.650853361785124,-79.37588746641697
187,M5C,The Poké Box,Poke Place,Toronto,43.65046931503178,-79.37631703952829
188,M5C,Elgin And Winter Garden Theatres,Theater,Toronto,43.653393796019586,-79.3785073962175
189,M5C,The Omni King Edward Hotel,Hotel,Toronto,43.64919051601911,-79.37600612640387
190,M5C,Vintage Conservatory,Speakeasy,Toronto,43.6522291429876,-79.37348666333094
191,M5C,Sam James Coffee Bar (SJCB),Coffee Shop,Toronto,43.65031871629752,-79.37621650642859
192,M5C,Sukhothai,Thai Restaurant,Toronto,43.64848710249909,-79.37454735245633
193,M5C,The Chase,New American Restaurant,Toronto,43.650951982093595,-79.37942201983014
194,M5C,Starbucks,Coffee Shop,Toronto,43.650420650855466,-79.37820212176874
195,M5C,Craft Beer Market,Beer Bar,Toronto,43.6498722789121,-79.37839828995996
196,M6C,Cedarvale Park,Field,Toronto,43.692534923091934,-79.42870527613704
197,M6C,Phil White Arena,Hockey Arena,,43.69130271699826,-79.43176051142332
198,M6C,K & K,Grocery Store,Toronto,43.6894497552931,-79.43460190804107
199,M6C,Cedarvale Ravine,Trail,,43.690188230007266,-79.42610580222994
200,M6C,Cy Townsend Park,Park,Toronto,43.68964242001997,-79.43532528474807
201,M6C,Glen Cedar Park,Playground,Toronto,43.69539929852649,-79.42925308973972
202,M6C,Coffee Time Donuts,Coffee Shop,Toronto,43.691852993172056,-79.43634389759859
203,M6C,Sam's Food Store,Deli / Bodega,Toronto,43.68944002140359,-79.43570095891785
204,M9C,LCBO,Liquor Store,Etobicoke,43.642098691959625,-79.5765915607928
205,M9C,The Beer Store,Beer Store,Etobicoke,43.6413126,-79.5769248
206,M9C,Shoppers Drug Mart,Pharmacy,Etobicoke,43.641646,-79.577362
